date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:08	555/555	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:3ccde6406ca3e3702097299b74193ef6%22	https://www.coralviu.com/robots.txt		(from )
17:23:08	295962/295962	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:7e759673929e935eac0c08fedc1e3fea%22	https://www.coralviu.com/	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/index.html	(from )
17:23:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:10%20GMT	http://www.coralviu.com/cdn/shop/files/CORALVIU_LOGO_1.png?crop=center&height=32&v=1702809142&width=32	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/files/CORALVIU_LOGO_1.0cc4a.delayed	(from https://www.coralviu.com/)
17:23:08	1885/1885	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jul%202024%2014:14:22%20GMT	https://www.coralviu.com/cdn/shop/files/CORALVIU_LOGO_1.png?crop=center&height=32&v=1702809142&width=32	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/files/CORALVIU_LOGO_1cc4a.png	(from https://www.coralviu.com/)
17:23:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:10%20GMT	http://www.coralviu.com/cdn/shop/t/2/assets/constants.js?v=58251544750838685771702809059	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/t/2/assets/constantsa720.js	(from https://www.coralviu.com/)
17:23:09	195/195	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2013%20Jul%202024%2022:35:13%20GMT	https://www.coralviu.com/cdn/shop/t/2/assets/constants.js?v=58251544750838685771702809059	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/t/2/assets/constantsa720.js	(from https://www.coralviu.com/)
17:23:09	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:11%20GMT	http://www.coralviu.com/cdn/shop/t/2/assets/pubsub.js?v=158357773527763999511702809059	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/t/2/assets/pubsubf1a9.js	(from https://www.coralviu.com/)
17:23:09	476/476	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2004%20Jul%202024%2004:26:48%20GMT	https://www.coralviu.com/cdn/shop/t/2/assets/pubsub.js?v=158357773527763999511702809059	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/t/2/assets/pubsubf1a9.js	(from https://www.coralviu.com/)
17:23:09	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:11%20GMT	http://www.coralviu.com/cdn/shop/t/2/assets/global.js?v=40820548392383841591702809059	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/t/2/assets/global7f76.js	(from https://www.coralviu.com/)
17:23:09	34430/34430	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2010%20Jul%202024%2017:55:41%20GMT	https://www.coralviu.com/cdn/shop/t/2/assets/global.js?v=40820548392383841591702809059	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/t/2/assets/global7f76.js	(from https://www.coralviu.com/)
